caller_id,callee_id,source_ip,destination_ip,call_start_time,call_duration_seconds,call_type,call_status,protocol,call_quality,is_blacklisted,number_of_previous_calls,caller_location,callee_location
-9876543119,-9123456698,203.0.113.1,198.51.100.9,10:34:00,120,outbound,completed,SIP,4.5,FALSE,15,India,India
-5551234566,-9876543119,198.51.100.7,203.0.113.2,14:12:00,30,inbound,completed,SIP,4,TRUE,120,USA,India
-9123456698,-7712345634,203.0.113.2,198.51.100.10,09:00:00,180,outbound,completed,IAX2,3.8,FALSE,7,India,UK
-7712345634,-9123456698,198.51.100.8,203.0.113.3,09:05:00,60,inbound,dropped,H.323,2,FALSE,3,UK,India
-9876543119,-9123456698,8.8.8.8,203.0.113.4,11:00:00,45,outbound,failed,SIP,1.5,TRUE,50,Germany,India
-9988776564,-1234567799,203.0.113.5,203.0.113.6,13:20:00,200,outbound,completed,SIP,4.8,FALSE,20,India,India
-5559876542,-7712345634,198.51.100.11,198.51.100.12,16:45:00,90,inbound,completed,H.323,3.5,TRUE,75,USA,UK
-7896541186,-9988776564,198.51.100.13,203.0.113.7,17:10:00,150,outbound,completed,SIP,4.6,FALSE,10,UK,India
-7744112142,-5551231233,203.0.113.8,198.51.100.14,09:30:00,300,outbound,completed,IAX2,4.9,FALSE,35,India,USA
-5553334443,-9876543119,198.51.100.15,203.0.113.9,10:00:00,15,inbound,failed,SIP,1,TRUE,60,USA,India
-423456728,-7744112142,203.0.113.122,198.51.100.32,10:00:00,591,inbound,completed,IAX2,3.4,FALSE,1,Australia,India
-5553334443,-13812345592,203.0.113.216,198.51.100.136,10:02:32,53,inbound,failed,SIP,1.9,TRUE,1,USA,China
-5553334443,-13987654235,203.0.113.169,198.51.100.108,10:03:42,38,inbound,dropped,SIP,1.2,TRUE,2,USA,China
-9123456698,-9765432018,203.0.113.15,198.51.100.153,10:06:29,73,inbound,completed,SIP,4.6,FALSE,1,India,India
-5556667776,-7896541186,203.0.113.143,198.51.100.25,10:07:42,577,outbound,completed,SIP,4,FALSE,1,USA,UK
-13987654235,-412345617,203.0.113.83,198.51.100.236,10:09:30,485,outbound,completed,SIP,3.9,FALSE,2,China,Australia
-5551112221,-412345617,203.0.113.134,198.51.100.190,10:11:00,40,outbound,completed,SIP,3.3,FALSE,1,USA,Australia
-5553334443,-13987654235,203.0.113.21,198.51.100.234,10:13:42,335,outbound,completed,SIP,4.2,TRUE,3,USA,China
-13987654235,-423456728,203.0.113.34,198.51.100.104,10:14:18,191,inbound,completed,SIP,3.4,FALSE,4,China,Australia
-423456728,-13987654235,203.0.113.236,198.51.100.24,10:15:11,119,outbound,completed,IAX2,3.2,FALSE,3,Australia,China
-5551112221,-13987654235,203.0.113.60,198.51.100.196,10:16:29,239,outbound,dropped,SIP,1.8,FALSE,2,USA,China
-9123456698,-7744112142,203.0.113.139,198.51.100.140,10:18:44,41,outbound,completed,IAX2,4,FALSE,2,India,India
-13987654235,-5553334443,203.0.113.194,198.51.100.79,10:20:15,20,inbound,completed,IAX2,4.4,FALSE,7,China,USA
-5551234566,-423456728,203.0.113.23,198.51.100.250,10:22:42,352,outbound,dropped,SIP,1.5,TRUE,1,USA,Australia
-8123456698,-9988776564,203.0.113.175,198.51.100.253,10:24:57,119,inbound,completed,H.323,3.4,FALSE,1,India,India
-412345617,-7654321054,203.0.113.123,198.51.100.80,10:27:07,415,outbound,dropped,H.323,2.2,FALSE,3,Australia,UK
-7896541186,-13987654235,203.0.113.55,198.51.100.218,10:28:06,540,outbound,completed,SIP,3.4,FALSE,2,UK,China
-7744112142,-9988776564,203.0.113.152,198.51.100.152,10:29:29,176,outbound,completed,SIP,4.8,FALSE,3,India,India
-8899552120,-7654321054,203.0.113.164,198.51.100.175,10:31:30,293,inbound,completed,SIP,3.9,FALSE,1,India,UK
-13987654235,-8123456698,203.0.113.166,198.51.100.245,10:32:53,380,outbound,completed,SIP,3,FALSE,9,China,India
-13987654235,-7896541186,203.0.113.34,198.51.100.103,10:34:01,107,inbound,completed,SIP,4.8,FALSE,10,China,UK
-8899552120,-13812345592,203.0.113.167,198.51.100.74,10:35:38,598,outbound,completed,SIP,3.8,FALSE,2,India,China
-9012345587,-7654321054,203.0.113.170,198.51.100.109,10:37:42,503,inbound,completed,SIP,4.6,FALSE,1,India,UK
-7987654277,-7654321054,203.0.113.136,198.51.100.235,10:40:33,260,inbound,completed,IAX2,4.9,FALSE,1,UK,UK
-5551234566,-5556667776,203.0.113.205,198.51.100.135,10:41:11,418,outbound,failed,SIP,1.2,TRUE,2,USA,USA
-412345617,-423456728,203.0.113.33,198.51.100.77,10:43:21,451,outbound,dropped,SIP,1.3,FALSE,4,Australia,Australia
-5551234566,-13987654235,203.0.113.52,198.51.100.67,10:46:16,143,inbound,completed,IAX2,4.3,TRUE,3,USA,China
-13812345592,-412345617,203.0.113.37,198.51.100.199,10:47:37,295,inbound,completed,SIP,4.1,FALSE,3,China,Australia
-13987654235,-412345617,203.0.113.61,198.51.100.201,10:49:29,538,outbound,completed,SIP,5,FALSE,12,China,Australia
-8123456698,-412345617,203.0.113.118,198.51.100.79,10:51:02,349,outbound,failed,SIP,1.1,FALSE,3,India,Australia
-9876543119,-7987654277,203.0.113.22,198.51.100.61,10:53:02,108,outbound,dropped,H.323,1.4,TRUE,1,India,UK
-5551234566,-423456728,203.0.113.1,198.51.100.66,10:54:46,41,outbound,dropped,IAX2,2,TRUE,4,USA,Australia
-5551234566,-412345617,203.0.113.104,198.51.100.42,10:56:55,310,inbound,dropped,SIP,1.1,TRUE,5,USA,Australia
-9012345587,-13987654235,203.0.113.21,198.51.100.145,10:58:29,261,outbound,completed,IAX2,4.4,FALSE,2,India,China
-412345617,-7896541186,203.0.113.105,198.51.100.117,11:00:06,223,inbound,completed,IAX2,4.1,FALSE,9,Australia,UK
-9765432018,-5551234566,203.0.113.140,198.51.100.207,11:02:36,539,inbound,completed,SIP,3.2,FALSE,2,India,USA
-5551112221,-412345617,203.0.113.122,198.51.100.243,11:03:38,318,inbound,failed,SIP,2,FALSE,3,USA,Australia
-13987654235,-7896541186,203.0.113.236,198.51.100.69,11:06:21,460,inbound,completed,SIP,4.4,FALSE,14,China,UK
-13987654235,-9988776564,203.0.113.114,198.51.100.143,11:09:19,391,inbound,failed,SIP,2.5,FALSE,15,China,India
-412345617,-7744112142,203.0.113.146,198.51.100.22,11:11:31,158,inbound,completed,SIP,4.1,FALSE,11,Australia,India
-7654321054,-7744112142,203.0.113.196,198.51.100.25,11:12:43,231,inbound,completed,SIP,3.7,FALSE,5,UK,India
-5551234566,-5556667776,203.0.113.68,198.51.100.11,11:14:34,70,inbound,dropped,SIP,1,TRUE,7,USA,USA
-5553334443,-13987654235,203.0.113.133,198.51.100.48,11:16:37,432,outbound,dropped,SIP,1.9,TRUE,5,USA,China
-5551112221,-423456728,203.0.113.121,198.51.100.123,11:17:09,94,outbound,failed,SIP,2,FALSE,4,USA,Australia
-5551112221,-412345617,203.0.113.161,198.51.100.167,11:18:01,23,inbound,completed,SIP,4.2,FALSE,5,USA,Australia
-9876543119,-7654321054,203.0.113.71,198.51.100.128,11:19:05,424,outbound,failed,SIP,2.3,TRUE,2,India,UK
-7987654277,-412345617,203.0.113.176,198.51.100.167,11:20:13,480,outbound,completed,SIP,3.5,FALSE,3,UK,Australia
-13987654235,-5556667776,203.0.113.251,198.51.100.178,11:22:35,188,inbound,completed,IAX2,3,FALSE,17,China,USA
-9765432018,-7987654277,203.0.113.124,198.51.100.32,11:24:04,341,outbound,failed,SIP,1.8,FALSE,3,India,UK
-423456728,-9765432018,203.0.113.131,198.51.100.231,11:26:45,541,outbound,completed,IAX2,4.3,FALSE,8,Australia,India
-5551234566,-7654321054,203.0.113.207,198.51.100.31,11:27:48,565,outbound,failed,SIP,1.2,TRUE,8,USA,UK
-7987654277,-423456728,203.0.113.239,198.51.100.184,11:28:50,456,outbound,failed,SIP,2.1,FALSE,5,UK,Australia
