caller_id,callee_id,source_ip,destination_ip,call_start_time,call_duration_seconds,call_type,call_status,protocol,call_quality,is_blacklisted,number_of_previous_calls,caller_location,callee_location
+91-9876543210,+91-9123456789,203.0.113.1,198.51.100.9,2025-08-20 10:34:00,120,outbound,completed,SIP,4.5,False,15,India,India
+1-5551234567,+91-9876543210,198.51.100.7,203.0.113.2,2025-08-21 14:12:00,30,inbound,completed,SIP,4.0,True,120,USA,India
+91-9123456789,+44-7712345678,203.0.113.2,198.51.100.10,2025-08-22 09:00:00,180,outbound,completed,IAX2,3.8,False,7,India,UK
+44-7712345678,+91-9123456789,198.51.100.8,203.0.113.3,2025-08-22 09:05:00,60,inbound,dropped,H.323,2.0,False,3,UK,India
+91-9876543210,+91-9123456789,8.8.8.8,203.0.113.4,2025-08-23 11:00:00,45,outbound,failed,SIP,1.5,True,50,Germany,India
+91-9988776655,+91-1234567890,203.0.113.5,203.0.113.6,2025-08-24 13:20:00,200,outbound,completed,SIP,4.8,False,20,India,India
+1-5559876543,+44-7712345678,198.51.100.11,198.51.100.12,2025-08-25 16:45:00,90,inbound,completed,H.323,3.5,True,75,USA,UK
+44-7896541230,+91-9988776655,198.51.100.13,203.0.113.7,2025-08-25 17:10:00,150,outbound,completed,SIP,4.6,False,10,UK,India
+91-7744112233,+1-5551231234,203.0.113.8,198.51.100.14,2025-08-26 09:30:00,300,outbound,completed,IAX2,4.9,False,35,India,USA
+1-5553334444,+91-9876543210,198.51.100.15,203.0.113.9,2025-08-26 10:00:00,15,inbound,failed,SIP,1.0,True,60,USA,India
+61-423456789,+91-7744112233,203.0.113.122,198.51.100.32,2025-08-20 10:00:00,591,inbound,completed,IAX2,3.4,False,1,Australia,India
+1-5553334444,+86-13812345678,203.0.113.216,198.51.100.136,2025-08-20 10:02:32,53,inbound,failed,SIP,1.9,True,1,USA,China
+1-5553334444,+86-13987654321,203.0.113.169,198.51.100.108,2025-08-20 10:03:42,38,inbound,dropped,SIP,1.2,True,2,USA,China
+91-9123456789,+91-9765432109,203.0.113.15,198.51.100.153,2025-08-20 10:06:29,73,inbound,completed,SIP,4.6,False,1,India,India
+1-5556667777,+44-7896541230,203.0.113.143,198.51.100.25,2025-08-20 10:07:42,577,outbound,completed,SIP,4.0,False,1,USA,UK
